ssc_issue_key,title,factor,ssc_severity,feasibility_category,proposed_test_method,exact_observation_or_evidence,proposed_rule_logic,required_executor,required_external_data,authoritative_reference_type,authoritative_reference,implementation_complexity,confidence,notes,current_platform_support
browser_logs_contain_debug_message,Browser logs contain debug messages,application_security,low,DIRECTLY_TESTABLE,Render an approved representative URL set in an instrumented headless browser and capture console events without submitting forms.,"URL, browser version, timestamp, console level, message hash, source URL and line; redact values matching secret patterns.",Finding when a production page emits debug/error console events matching the approved debug or sensitive-disclosure policy; require repeatability on two loads.,BROWSER,None,OWASP WSTG,https://wstg.owasp.org/latest/4-Web_Application_Security_Testing/01-Information_Gathering/05-Review_Web_Page_Content_for_Information_Leakage/,MEDIUM,MEDIUM,Page coverage must be declared; do not infer SSC collection scope.,NOT_SUPPORTED
communication_server_with_expired_cert,Server with Expired Certificate Contacted,application_security,low,TESTABLE_WITH_ENRICHMENT,"Render approved pages, inventory contacted HTTPS origins, and use a direct TLS handshake only for separately authorized dependencies; use approved passive certificate evidence for out-of-scope origins.","Parent page URL, dependency origin, browser TLS error, certificate chain hash, notAfter, validation time, scope decision and passive-source provenance when used.",Finding only when the browser contacted the origin and either an authorized handshake or fresh authoritative passive certificate record proves notAfter earlier than observation time; otherwise indeterminate.,BROWSER+TLS+CERT_ENRICHMENT,Approved dependency scope plus passive certificate/CT evidence for out-of-scope origins,IETF PKIX / OWASP WSTG,https://www.rfc-editor.org/rfc/rfc5280.html; https://wstg.owasp.org/latest/4-Web_Application_Security_Testing/11-Client-side/,HIGH,MEDIUM,"Browser dependency discovery is direct, but proving expiry may require data for a third-party origin that the scanner is not authorized to probe.",PARTIAL
communication_with_server_certificate_issued_by_blacklisted_country,Server certificate issued by country on denylist,application_security,low,TESTABLE_WITH_ENRICHMENT,"Build the validated certificate chain, identify issuing CA legal jurisdiction from an approved CA registry, and evaluate an organization-maintained denylist.","Chain DER hashes, issuer identity, registry provenance/version, jurisdiction and policy-list version.",Finding only when the validated issuer jurisdiction is explicitly present in the current internal denylist; unknown jurisdiction is indeterminate.,TLS+POLICY_ENRICHMENT,CA ownership/jurisdiction registry and internal sanctions policy,IETF PKIX / internal policy,https://www.rfc-editor.org/rfc/rfc5280.html,HIGH,MEDIUM,Certificate subject country alone is not reliable issuer jurisdiction.,PARTIAL
contact_information_detected,Non-standard links detected: Contact information displayed,application_security,low,DIRECTLY_TESTABLE,Crawl only approved same-origin pages and parse anchor/DOM URI schemes associated with contact details.,"Page URL, element type, URI scheme and a redacted/hash-only contact value.","Finding when href uses an internal-policy contact scheme (for example mailto, tel, sms, whatsapp or viber); never store the clear contact value.",HTTP_CRAWLER,None,WHATWG URL/HTML + internal privacy policy,https://html.spec.whatwg.org/,MEDIUM,HIGH,"Presence is an exposure observation, not proof of social-engineering risk.",NOT_SUPPORTED
cookie_missing_http_only,Session Cookie Missing 'HttpOnly' Attribute,application_security,high,TESTABLE_WITH_ENRICHMENT,"Collect Set-Cookie headers during an approved synthetic authentication flow and identify session cookies from a reviewed cookie inventory/purpose map; never retain values.","URL, response status, hashed cookie name, authenticated-flow step, session-cookie classification provenance and boolean HttpOnly attribute; value discarded.",Finding when a cookie established as a session/authentication cookie lacks HttpOnly; an unclassified cookie is indeterminate rather than a finding.,HTTP+AUTH_FLOW,Approved synthetic authentication flow and versioned session-cookie inventory/classification,IETF RFC / OWASP Cheat Sheet,https://www.rfc-editor.org/rfc/rfc6265.html; https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html,MEDIUM,HIGH,"The attribute is externally visible, but session purpose is not reliably inferable from a cookie name or an unauthenticated response.",PARTIAL
cookie_missing_secure_attribute,Session Cookie Missing 'Secure' Attribute,application_security,high,TESTABLE_WITH_ENRICHMENT,"Collect Set-Cookie headers during an approved synthetic authentication flow and identify session cookies from a reviewed cookie inventory/purpose map; never retain values.","URL, response status, hashed cookie name, authenticated-flow step, session-cookie classification provenance and boolean Secure attribute; value discarded.",Finding when a cookie established as a session/authentication cookie lacks Secure; an unclassified cookie is indeterminate rather than a finding.,HTTP+AUTH_FLOW,Approved synthetic authentication flow and versioned session-cookie inventory/classification,IETF RFC / OWASP Cheat Sheet,https://www.rfc-editor.org/rfc/rfc6265.html; https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html,MEDIUM,HIGH,"The attribute is externally visible, but session purpose is not reliably inferable from a cookie name or an unauthenticated response.",PARTIAL
csp_no_policy_v2,Content Security Policy (CSP) Missing,application_security,low,DIRECTLY_TESTABLE,"Fetch approved HTML pages, collect all CSP headers/meta policies, parse directives according to CSP3, and evaluate the effective policy.","URL, delivery channel, parsed directives, duplicate-policy handling, nonce/hash presence and policy text hash.",Finding when neither an enforced Content-Security-Policy response header nor valid CSP meta policy is present on an HTML document; report-only alone does not satisfy.,HTTP_CRAWLER,None,W3C specification / OWASP WSTG,https://www.w3.org/TR/CSP3/; https://wstg.owasp.org/latest/4-Web_Application_Security_Testing/02-Configuration_and_Deployment_Management/12-Content_Security_Policy/,MEDIUM,HIGH,No attempt is made to infer SSC thresholds.,PARTIAL
csp_too_broad_v2,Content Security Policy Contains Broad Directives,application_security,low,DIRECTLY_TESTABLE,"Fetch approved HTML pages, collect all CSP headers/meta policies, parse directives according to CSP3, and evaluate the effective policy.","URL, delivery channel, parsed directives, duplicate-policy handling, nonce/hash presence and policy text hash.","Finding when effective script-src/object-src/default-src permits wildcard, unscoped scheme sources, data: for active content, or another internal-policy broad source.",HTTP_CRAWLER,None,W3C specification / OWASP WSTG,https://www.w3.org/TR/CSP3/; https://wstg.owasp.org/latest/4-Web_Application_Security_Testing/02-Configuration_and_Deployment_Management/12-Content_Security_Policy/,MEDIUM,HIGH,No attempt is made to infer SSC thresholds.,PARTIAL
csp_unsafe_policy_v2,Content Security Policy Contains 'unsafe-*' Directive,application_security,low,DIRECTLY_TESTABLE,"Fetch approved HTML pages, collect all CSP headers/meta policies, parse directives according to CSP3, and evaluate the effective policy.","URL, delivery channel, parsed directives, duplicate-policy handling, nonce/hash presence and policy text hash.","Finding when effective active-content directives contain 'unsafe-eval', 'unsafe-inline' without nonce/hash controls, or another explicitly disallowed unsafe token.",HTTP_CRAWLER,None,W3C specification / OWASP WSTG,https://www.w3.org/TR/CSP3/; https://wstg.owasp.org/latest/4-Web_Application_Security_Testing/02-Configuration_and_Deployment_Management/12-Content_Security_Policy/,MEDIUM,HIGH,No attempt is made to infer SSC thresholds.,PARTIAL
domain_missing_https_v2,Site does not enforce HTTPS,application_security,low,DIRECTLY_TESTABLE,Probe approved HTTP and HTTPS endpoints and follow only bounded same-target redirects.,"HTTP/HTTPS reachability, redirect hops, final scheme, TLS validation result and tested port/path set.","Finding when HTTP serves content without a permanent upgrade to valid HTTPS, or an approved canonical endpoint remains reachable only by HTTP.",HTTP+TLS,None,IETF RFC / OWASP guidance,https://www.rfc-editor.org/rfc/rfc9110.html; https://www.rfc-editor.org/rfc/rfc6797.html,LOW,HIGH,"Current executor tests root on configured ports but not declared application paths, so support is partial.",PARTIAL
domain_uses_hsts_preloading,Domain Uses HSTS Preloading,application_security,info,TESTABLE_WITH_ENRICHMENT,Validate preload-eligible HSTS policy and test the registrable domain against a versioned Chromium HSTS preload dataset.,"HSTS directives, HTTPS validity, preload-list revision/hash and exact matched domain entry.","Positive observation only when policy has max-age>=31536000, includeSubDomains and preload, and the domain is present in the pinned preload list; otherwise report precise unmet conditions.",HTTP+PUBLIC_DATA,Chromium HSTS preload list snapshot,Vendor documentation / IETF RFC,https://hstspreload.org/; https://www.rfc-editor.org/rfc/rfc6797.html,MEDIUM,HIGH,List membership is time-dependent; persist dataset version.,PARTIAL
exposed_cisco_web_ui,Potentially Exposed Cisco Web UI,application_security,info,TESTABLE_WITH_ENRICHMENT,Fingerprint Cisco IOS XE Web UI without authentication and correlate exact release evidence to Cisco advisories for CVE-2023-20198/CVE-2023-20273.,"HTTP/TLS fingerprint, product/release evidence, advisory revisions and match confidence.","Finding only when the Web UI is exposed and a confirmed affected release is identified; exposure with hidden version is indeterminate, not vulnerable.",HTTP_FINGERPRINT+CVE,Cisco advisory and NVD CVE records,Vendor advisory / NVD,https://nvd.nist.gov/vuln/detail/CVE-2023-20198; https://nvd.nist.gov/vuln/detail/CVE-2023-20273,HIGH,HIGH,No authentication bypass or implant checks.,PARTIAL
fail_to_load_page_components,Site fails to load page components,application_security,low,DIRECTLY_TESTABLE,Render approved pages with a headless browser and capture failed subresource requests after a bounded network-idle window.,"Page URL, resource URL/origin, resource type, failure reason, HTTP status and initiator; query values redacted.","Finding when required script/style/font/image/XHR resources repeatedly fail due to DNS, TLS, network, CSP or HTTP error; ignore explicitly optional/cancelled resources by policy.",BROWSER,None,W3C Fetch / OWASP WSTG,https://fetch.spec.whatwg.org/,HIGH,MEDIUM,Requires a declared page set and stability threshold.,NOT_SUPPORTED
hosted_on_object_storage_v2,Website Hosted on Object Storage,application_security,low,TESTABLE_WITH_ENRICHMENT,"Resolve and inspect the site origin; match DNS aliases, TLS identities and HTTP signatures against a versioned cloud object-storage provider catalog.","Observed hostname/CNAME, certificate SAN/issuer, provider signature, HTTP headers and provider-catalog version.",Finding when at least two independent indicators identify the site origin as object storage; a hostname suffix alone is insufficient.,DNS+HTTP+TLS+FINGERPRINT,Versioned provider endpoint/signature catalog,Vendor security documentation,Cloud-provider object-storage endpoint documentation,MEDIUM,MEDIUM,Provider catalog must be reviewed and versioned.,PARTIAL
